cause_name,location_name,age_group_name,measure_name,metric_name,val,upper,lower
Neural tube defects,India,Birth,Incidence,Number,18104.6615149,20294.9405738,16063.0673511
Neural tube defects,Ethiopia,Birth,Incidence,Number,6828.13221599,7838.26139523,5942.32982293
Neural tube defects,Nigeria,Birth,Incidence,Number,20365.0789577,23229.2284688,17743.1294599
Neural tube defects,India,Birth,Incidence,Rate,0.000736894501707,0.000826043066812,0.000653797697453
Neural tube defects,Ethiopia,Birth,Incidence,Rate,0.001838336439,0.00211029328159,0.00159985206796
Neural tube defects,Nigeria,Birth,Incidence,Rate,0.00261141493344,0.00297868494602,0.00227520223879
Neural tube defects,India,Under 5,DALYs (Disability-Adjusted Life Years),Number,44936.67898320262,61226.30787734165,32247.186071350716
Neural tube defects,India,Early Neonatal,DALYs (Disability-Adjusted Life Years),Number,14185.414021396555,23900.946934811873,8044.46683118702
Neural tube defects,India,Late Neonatal,DALYs (Disability-Adjusted Life Years),Number,5392.882026796881,8773.937460480862,3530.2004975009245
Neural tube defects,India,Post Neonatal,DALYs (Disability-Adjusted Life Years),Number,8478.122370636262,12004.392067845345,6376.735792454877
Neural tube defects,India,1 to 4,DALYs (Disability-Adjusted Life Years),Number,16880.26056437292,22452.841899196985,11706.27550127841
Neural tube defects,Ethiopia,Under 5,DALYs (Disability-Adjusted Life Years),Number,238767.4121706574,350439.1504712262,173286.54107578177
Neural tube defects,Ethiopia,Early Neonatal,DALYs (Disability-Adjusted Life Years),Number,105458.35636289496,150800.6870568227,77067.24024127467
Neural tube defects,Ethiopia,Late Neonatal,DALYs (Disability-Adjusted Life Years),Number,21608.606960598798,32998.612954853146,14847.63488190792
Neural tube defects,Ethiopia,Post Neonatal,DALYs (Disability-Adjusted Life Years),Number,65592.79207074406,106591.31200673744,40092.07175568506
Neural tube defects,Ethiopia,1 to 4,DALYs (Disability-Adjusted Life Years),Number,46107.65677641955,76160.04676494833,27787.52643075292
Neural tube defects,Nigeria,Under 5,DALYs (Disability-Adjusted Life Years),Number,634154.4000358325,1190241.9318740964,337333.4745482214
Neural tube defects,Nigeria,Early Neonatal,DALYs (Disability-Adjusted Life Years),Number,249737.515908541,466043.15317923925,133097.42891385793
Neural tube defects,Nigeria,Late Neonatal,DALYs (Disability-Adjusted Life Years),Number,53939.77643969928,109438.5815956804,24171.797494983213
Neural tube defects,Nigeria,Post Neonatal,DALYs (Disability-Adjusted Life Years),Number,149943.3589868803,315052.6132073953,57415.34563161286
Neural tube defects,Nigeria,1 to 4,DALYs (Disability-Adjusted Life Years),Number,180533.74870071185,427905.8963768366,61141.363577545584
Neural tube defects,India,Under 5,DALYs (Disability-Adjusted Life Years),Rate,0.00034745584726067713,0.00047340923182411524,0.0002493391503716177
Neural tube defects,India,Early Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.029982010456654877,0.05051656862764826,0.0170026259569911
Neural tube defects,India,Late Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.0038444956915419503,0.00625479374424811,0.0025166210822866065
Neural tube defects,India,Post Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.0003800463097845751,0.0005381173692883919,0.00028584806876428946
Neural tube defects,India,1 to 4,DALYs (Disability-Adjusted Life Years),Rate,0.00016054023849435795,0.00021353844507477257,0.00011133289404444156
Neural tube defects,Ethiopia,Under 5,DALYs (Disability-Adjusted Life Years),Rate,0.014360935106266374,0.021077557665261946,0.010422514314474314
Neural tube defects,Ethiopia,Early Neonatal,DALYs (Disability-Adjusted Life Years),Rate,1.4991325537593403,2.1436918504421096,1.0955415261406143
Neural tube defects,Ethiopia,Late Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.10380939114794069,0.15852784614094007,0.07132916711791012
Neural tube defects,Ethiopia,Post Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.020149205915563753,0.03274338881804963,0.01231573445624316
Neural tube defects,Ethiopia,1 to 4,DALYs (Disability-Adjusted Life Years),Rate,0.00352173366738674,0.0058171553176616505,0.002122429856696368
Neural tube defects,Nigeria,Under 5,DALYs (Disability-Adjusted Life Years),Rate,0.01841076325707813,0.034555090093426936,0.009793461558011694
Neural tube defects,Nigeria,Early Neonatal,DALYs (Disability-Adjusted Life Years),Rate,1.6894349854468171,3.152708574218782,0.9003831565396064
Neural tube defects,Nigeria,Late Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.12388548166430581,0.2513516423041906,0.05551626226530113
Neural tube defects,Nigeria,Post Neonatal,DALYs (Disability-Adjusted Life Years),Rate,0.022059057966623375,0.046349260842463824,0.008446712452081872
Neural tube defects,Nigeria,1 to 4,DALYs (Disability-Adjusted Life Years),Rate,0.006670578723726738,0.015810783239540015,0.002259124855907943
